accepted_arrivals,arrival_attempts,completed_jobs,loss_probability,mean_num_jobs,mean_occupied_resource,observed_time,pi_hat_0,pi_hat_1,pi_hat_10,pi_hat_11,pi_hat_12,pi_hat_13,pi_hat_14,pi_hat_15,pi_hat_16,pi_hat_17,pi_hat_18,pi_hat_19,pi_hat_2,pi_hat_20,pi_hat_3,pi_hat_4,pi_hat_5,pi_hat_6,pi_hat_7,pi_hat_8,pi_hat_9,rejected_arrivals,rejected_capacity,rejected_resource,rejected_server,replication_index,scenario_name,seed,throughput,total_time,warmup_time
255436,255573,255438,0.0005360503652576759,2.866758901240692,5.726004561306426,80000.0,0.07383169428126853,0.17774478204065008,0.002402329847495139,0.0010762173666460967,0.0005001962359091976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22578103478515119,0.0,0.2014526015601701,0.14303900759492108,0.08737313789641339,0.04698758392088498,0.023375808944903247,0.01126813512140684,0.005167470404180131,137,0,0,137,0,erlang_2,42,3.192975,100000.0,20000.0
256186,256301,256187,0.0004486911873149149,2.8891397116114463,5.7838053042817,80000.0,0.07317196356092599,0.1754007950384766,0.002547184311700312,0.001146045107166219,0.0004720921442789404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22406458126642748,0.0,0.20154379310566498,0.1438664496080282,0.08855299787958702,0.04812125619926587,0.02408119503682351,0.011576581262360969,0.005455065479293944,115,0,0,115,1,erlang_2,1000045,3.2023375,100000.0,20000.0
255928,256038,255929,0.0004296237277279154,2.8837678865647614,5.770215748551295,80000.0,0.07335848154362906,0.1757448398920425,0.002428219026787201,0.0011869659555307863,0.0004844723822702235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22496988660679113,0.0,0.20150390986233205,0.1434957312832962,0.08765635394224328,0.0482249595315202,0.02416444067626594,0.011382130936819657,0.005399608360471757,110,0,0,110,2,erlang_2,2000048,3.1991125,100000.0,20000.0
255867,256012,255870,0.0005663797009515179,2.8807850222282716,5.762291742259573,80000.0,0.07373963410834576,0.17786102049116576,0.00268911900799244,0.0011953458857285114,0.0005412012250604221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22400119901265936,0.0,0.20022073718192332,0.14321131490119282,0.08754810330784289,0.04812682514839776,0.02403992910699367,0.011331383745249059,0.005494186877448237,145,0,0,145,3,erlang_2,3000051,3.198375,100000.0,20000.0
256437,256582,256444,0.0005651214816316031,2.882016375286783,5.768206560860319,80000.0,0.07201721615650981,0.17646596974250606,0.002257484003565287,0.0010770328670398157,0.0005219716501848325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22488019122251712,0.0,0.2020480197578966,0.1449904272161731,0.08753081385077653,0.047817203765139496,0.02383156531933573,0.011438795529718208,0.0051233089186373945,145,0,0,145,4,erlang_2,4000054,3.20555,100000.0,20000.0
256786,256949,256785,0.0006343671312205924,2.8895686467206367,5.776096233244806,80000.0,0.07136593514911574,0.17541799901929267,0.0025936404535343628,0.001174725021897757,0.0005973561140234324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22588875247946094,0.0,0.20269428515372664,0.14446115277990101,0.08750285048528177,0.04758391744313426,0.023838770946769502,0.011395665280219965,0.00548494967364195,163,0,0,163,5,erlang_2,5000057,3.2098125,100000.0,20000.0
255651,255757,255649,0.000414455909320175,2.8700753570128525,5.733532587812669,80000.0,0.07306623786594778,0.1776136715275015,0.002341521270495423,0.0009732872854706329,0.0004753199262001544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22690487117367233,0.0,0.2009379122937456,0.14313054187630522,0.0865468613555634,0.04723104290835908,0.024056089001412876,0.01152615208378038,0.00519649143154561,106,0,0,106,6,erlang_2,6000060,3.1956125,100000.0,20000.0
256176,256310,256181,0.000522804416526862,2.8836098887668467,5.769702547978677,80000.0,0.07284305006076797,0.17696621703644827,0.0025217347769825663,0.001264275571181861,0.0005915640583255481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249301469538081,0.0,0.20031152848154588,0.14458522670734938,0.08746647058714262,0.04765503300088676,0.02421454498987696,0.011331498055314387,0.005318709720369679,134,0,0,134,7,erlang_2,7000063,3.2022625,100000.0,20000.0
255247,255366,255246,0.0004659978227328619,2.8637737399325935,5.731104743365166,80000.0,0.07495154173888009,0.17756868063967232,0.0023365987158256757,0.0010325195963067017,0.00048080903974100694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22464955146798002,0.0,0.2019138943766278,0.1431506542963312,0.08652337481018339,0.047402512845501496,0.024002096261264115,0.010868276010720001,0.00511949020096622,119,0,0,119,8,erlang_2,8000066,3.190575,100000.0,20000.0
255935,256034,255933,0.0003866673957365037,2.8814967490311534,5.760676067022019,80000.0,0.07304304285021676,0.1772960477096511,0.002457109382889348,0.0010619621240163723,0.0004557018172500648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22461577993937276,0.0,0.20121417728765956,0.1428639605868861,0.08749863581322656,0.048196419320267206,0.024328083928003754,0.011540327416646597,0.005428751823913808,99,0,0,99,9,erlang_2,9000069,3.1991625,100000.0,20000.0
255705,255850,255706,0.0005667383232362713,2.8701983008523806,5.7408512483292045,80000.0,0.07423979738521744,0.1774422930356787,0.0024462684618693858,0.0011269736593924335,0.0005163462600243747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22477665550953657,0.0,0.20159215072178713,0.14329940349166892,0.08723413951686625,0.04719047584199866,0.023566528100587084,0.011226880805502468,0.005342087209870579,145,0,0,145,10,erlang_2,10000072,3.196325,100000.0,20000.0
256767,256893,256765,0.0004904765797433173,2.883854965700919,5.757826419476406,80000.0,0.0735919011263191,0.17689998704443705,0.002358428090181678,0.001095402371700402,0.0005325774271785122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22303999140614414,0.0,0.20082542700435518,0.14395741621732386,0.08858057063056858,0.04829275344679904,0.024024410692996524,0.01149604571740656,0.005305088824589348,126,0,0,126,11,erlang_2,11000075,3.2095625,100000.0,20000.0
256216,256347,256218,0.0005110260701315014,2.8902290691340826,5.778959060092277,80000.0,0.07449837359883572,0.17719797204920687,0.0025703718904510424,0.0011964054826104076,0.0005212066865005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22145103680679099,0.0,0.1993731358685869,0.14411172884544612,0.08860366500370301,0.048488325898100405,0.024799782513873287,0.011794675174765462,0.005393320181129275,131,0,0,131,12,erlang_2,12000078,3.202725,100000.0,20000.0
256025,256177,256027,0.0005933397611807462,2.873510125635727,5.743665945906274,80000.0,0.07370516647927775,0.1765830106079321,0.0024228147194030043,0.0011219822586105693,0.0005339953173617232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22373220660543017,0.0,0.20229786868567654,0.1450013229992147,0.08864325379316361,0.0467510954684536,0.02298122957400328,0.011040022301859699,0.005186031189613277,152,0,0,152,13,erlang_2,13000081,3.2003375,100000.0,20000.0
254620,254723,254618,0.00040436081547406396,2.8640987345035405,5.739155343497873,80000.0,0.07443173984425784,0.1784106225753043,0.0022375620256290404,0.0010263012138409977,0.0004223380943466054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22458492613591033,0.0,0.20062239801351697,0.1437681704352829,0.08743357966510507,0.047334073782825316,0.023368633427965777,0.011144274958338474,0.005215379827676361,103,0,0,103,14,erlang_2,14000084,3.182725,100000.0,20000.0
255995,256099,255990,0.0004060929562395792,2.8743142768868934,5.743413091556634,80000.0,0.07396338644597095,0.1770959405673471,0.002348766741995223,0.0010626891951888864,0.0004239998747042591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2241963778700644,0.0,0.20129065135425048,0.1431253206781258,0.08832743501585255,0.04780630029976251,0.02415027220300044,0.011219523341794865,0.004989336411942532,104,0,0,104,15,erlang_2,15000087,3.199875,100000.0,20000.0
256100,256233,256100,0.0005190588253659755,2.8788793872550364,5.756246432308687,80000.0,0.07276495920009947,0.17622608439875304,0.00220920454211232,0.0010014265314822297,0.0004760293793947767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22506341020190657,0.0,0.20121915842426588,0.14467300719556705,0.08814214971560295,0.0480683565725677,0.023984100811848475,0.01120172235671621,0.00497039066968332,133,0,0,133,16,erlang_2,16000090,3.20125,100000.0,20000.0
255899,256015,255905,0.0004530984512626213,2.8752111235822757,5.740269305354552,80000.0,0.07331476198301234,0.17706309179799692,0.002468712188646168,0.0011895166646337203,0.0005311240123601238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22525216850892293,0.0,0.20205255043630896,0.14335917044167745,0.08727028919499807,0.04706526339074435,0.02361920100534362,0.011500718390017482,0.0053134319853378655,116,0,0,116,17,erlang_2,17000093,3.1988125,100000.0,20000.0
256137,256250,256135,0.0004409756097560976,2.8818747029203235,5.76681584519185,80000.0,0.0736326658032648,0.17648439230253374,0.0023771732045416685,0.0010912599389262141,0.0005290017668917699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22459168824431344,0.0,0.20037279405369182,0.14377270891394192,0.08819133886911877,0.048070566435750285,0.02396280762394672,0.011558068179418932,0.0053655346636599,113,0,0,113,18,erlang_2,18000096,3.2016875,100000.0,20000.0
